Client Name,Client ABN,Date Published,Parent Organisation,Org ABN,is_energy
AbbVie Australia,48 156 384 262,15/01/2019,OGILVY HEALTH PTY LTD,62 114 807 877,No
Abel Energy,12640400399,21/08/2023,A.GR Advisors Pty Ltd,56665229112,Yes
ABEL Energy,,02/02/2023,Bartholomew Quinn and Associates Pty Ltd,97009584105,Yes
Ability First Australia,,17/08/2018,TSB Advisory Pty Ltd,90604408826,No
Aboriginal Legal Service (NSW/ACT) Limited,93 118 431 066,28/08/2024,Essential Media Communications,48074671462,No
Abra Mining Pty Ltd,30 110 233 577,14/07/2025,Corporate Affairs Australia Pty Ltd,87 629 216 262,No
Abu Dhabi Developmental Holding Company,,23/06/2025,TG Public Affairs Pty Ltd,23630677673,No
Abu Dhabi National Oil Company,,23/06/2025,TG Public Affairs Pty Ltd,23630677673,No
Accenture Australia Pty Ltd,49096776895,16/10/2023,CMAX Advisory PTY LTD as a Trustee for CMAX Trading Trust,62155922079,No
Access Partnership,,10/02/2025,Forsius Technology Consulting,70543558011,No
Acciona,59114553454,27/01/2023,Richardson Coutts Pty Ltd,82378912405,No
Accolade Wines,86 008 273 907,27/02/2024,SEC Newgate Pty Limited,38162366056,No
ACEN Australia,27 616 856 672,10/06/2020,SECOND SUN MEDIA PTY LTD,25 633 329 174,No
ACFIN PTY LTD,78 626 887 563,29/10/2024,SANLAAN PTY LTD,21131482230,No
Achieve Australia,49 133 306 902,04/04/2022,Lady & Professor Pty Ltd,16642238702,No
ACOR Consultants Pty Ltd,40 079 306 246,01/07/2025,"PATON, ALEXANDER WILLIAM",26764474411,No
"Acquisition, Technology & Logistics Agency (ATLA)-Japan",,24/01/2025,Indo Pacific Advisory Pty Ltd,78669769859,No
Actinogen,,02/07/2025,Media and Public Affairs Australia,49622979177,No
Acumentis Pty Ltd,30 109 670 671,21/05/2021,National Advisory Pty Ltd,29634573363,No
Adams Aus Bidco Pty Ltd,50 637 090 996,12/04/2024,Anacta Strategies Pty Ltd,64633978677,No
Adecco Australia Pty Ltd,91 006 253 336,31/10/2024,Northstar Public Affairs Pty Ltd,25638744046,No
ADELAIDE JUVENTUS SPORTS & SOCIAL CLUB INC.,11404303857,03/02/2025,The Trustee for Neagle Family Trust,55305718177,No
Adjudicate Today,,09/07/2020,Megan Anwyl,13159060561,No
Adobe Systems Pty Ltd,72054247835,29/06/2017,Christmas Jalili Pty Ltd,26614088881,No
Advanced Materials and Battery Council,84660638648,12/06/2025,JP STRATEGIC ADVISORY PTY LTD,58674312077,No
ADVANCED OFFSITE CONSTRUCTION PTY LTD,48630952359,11/07/2025,Stockdale Investments Pty Ltd atf Harris Family Trust,81323296865,No
Advanced Pharmacy Australia,54004553806,23/09/2024,Nexus APAC Pty Ltd,76615655699,No
Advent Energy,39 109 955 400,03/02/2025,A.GR Advisors Pty Ltd,56665229112,Yes
AEGIS9 Pty Ltd,35 614 124 097,06/07/2023,Simplicity One Pty Ltd,38 640 087 494,No
AEGIS9 Pty Ltd,35 614 124 097,29/11/2022,BDAAS Consulting Pty Ltd,62164001969,No
Aegros,92 618 589 101,01/05/2023,The Civic Partnership Pty Ltd,71652574171,No
AEIOU Foundation,19 135 897 255,10/06/2025,Anacta Strategies Pty Ltd,64633978677,No
"AEOLUS LABS, INC",,27/05/2025,Brookline Advisory Pty Ltd,89669353477,No
Aeon Industrial Inc.,,14/03/2024,Capital Integrity Group Pty Ltd,99 649 180 898,No
Aero Adapt Pty Ltd,84 162 046 728,06/02/2025,The Straya Group Australia Pty Ltd,62 671 948 164,No
AERO DEFENCE PTY LTD,42 129 351 220,02/09/2024,PYNE AND PARTNERS PTY LTD,81634747363,No
AeroTech Helicopters Pty Ltd,32 007 071 187,23/06/2025,PYNE AND PARTNERS PTY LTD,81634747363,No
Aerovation Technologies Pty Ltd (“Aerovation”),98638938897,21/03/2025,Precision Public Affairs Pty Ltd,42639299415,No
Afford – The Australian Foundation for Disability,99 000 112 729,15/03/2022,Wilkinson Butler Pty Ltd,95164204111,No
Afterpay Australia Pty Ltd,15 169 342 947,09/04/2024,Brockwell Strategy Pty Ltd,85675736259,No
Afterpay Pty Ltd,,02/02/2022,Jannette Cotterell,51364113263,No
Aged Care Justice,74 197 462 843,11/07/2023,BusinessAide Pty Ltd,11127557448,No
Aged Care Reform Now,,03/02/2023,Hawkshaw Pty Ltd,96648425085,No
Aged Care Research & Industry Innovation Australia (ARIIA),65 542 596 200,05/08/2024,Capetal Advisory Pty Ltd,86615732182,No
Aged-care Legal Advocacy & Reform Matter (ALARM) Incorporated,74 197 462 843,23/12/2021,BusinessAide Pty Ltd,11127557448,No
Agile Spray Response,,09/02/2023,Bruce Hawker Consulting Pty Ltd,35081137180,No
Agility DGS Holdings Inc,,17/06/2025,CMAX Advisory PTY LTD as a Trustee for CMAX Trading Trust,62155922079,No
AGL Energy Hubs Pty Ltd,23105363853,30/08/2023,Mainline Communications Pty Ltd,28067743453,Yes
AGL ENERGY LIMITED,74 115 061 375,08/02/2023,GRACosway Pty Ltd,50082123822,Yes
Agnico Eagle,,14/02/2022,Premier Strategy Pty Ltd,63106038304,No
Agrimin Limited,15 122 162 396,04/09/2024,Corporate Affairs Australia Pty Ltd,87 629 216 262,No
Agripower,23 132 823 226,15/03/2022,Northstar Public Affairs Pty Ltd,25638744046,Yes
Agripower Australia Limited,23132823226,11/05/2017,Christmas Jalili Pty Ltd,26614088881,Yes
AgriQual Pty Ltd,77 603 792 310,09/01/2024,GovTech Australia Pty Ltd,51673743890,No
AIA Australia,79 004 837 861,02/08/2024,TG Public Affairs Pty Ltd,23630677673,No
AIR CONDITIONING AND REFRIGERATION EQUIPMENT MANUFACTURERS ASSOCIATION OF AUSTRALIA INCORPORATED,,17/07/2014,Global Issues Group,66163887885,No
Air Liquide,57 0043 857 82,07/02/2024,Milner Strategic Services,24957388494,No
Air New Zealand,,13/07/2012,Diplomacy Pty Limited,17148998645,No
Airbnb Australia Pty Ltd,96153841493,21/04/2020,Font Public Relations Pty Ltd,39129451716,No
AirTrunk Operating Pty Ltd,99 612 044 283,14/02/2025,Tim Marshall Advisory,36973273421,No
Akuna Infrastructure Solutions Pty Ltd,13166165297,16/08/2019,Public Affairs and Campaigns Australia Pty Ltd,62632061226,No
AlayaCare ANZ Pty Ltd (ABN 69 116 576 517),69116576517,17/06/2025,H/Advisors APA Pty Ltd,60074901545,No
Albert Group Services Pty Ltd,53003307131,05/01/2021,Baglin Street,76 653 586 164,No
Alceon Group Pty Ltd,63 122 365 986,04/02/2025,Arican Pty Limited,12 633 279 786,No
Alcoa of Australia Limited,93 004 879 298,09/12/2024,Bondi Partners Advocacy Pty Ltd,68 661 609 329,No
Alcoa of Australia Limited,93 004 879 298,19/04/2023,GRA Partners Pty Ltd,56131702755,No
Alcohol and Drug Foundation,66 057 731 192,10/06/2025,Anacta Strategies Pty Ltd,64633978677,No
ALDI Stores,,08/08/2011,GRACosway Pty Ltd,50082123822,No
Aldridge ITS Pty Ltd,68 163 711 153,26/06/2024,Northstar Public Affairs Pty Ltd,25638744046,No
ALFA (NT) LIMITED,81 166 922 569,08/12/2023,PYNE AND PARTNERS PTY LTD,81634747363,No
Alinta Servco Pty,64 614 975 629,07/03/2025,Crestview Strategy Pty Ltd,66675929343,No
Alliance for Animals,68 654 428 690,27/02/2024,Essential Media Communications,48074671462,No
Alliance for Journalists' Freedom,59622234799,02/09/2019,Wilkinson Butler Pty Ltd,95164204111,No
Alliance20,45 000 062 288,02/08/2023,Essential Media Communications,48074671462,No
Allianz Australia Services Pty Ltd,66002947257,10/01/2025,H/Advisors APA Pty Ltd,60074901545,No
Allied Green Ammonia Pty Ltd (ABN 71 649 488 157),71649488157,17/06/2025,H/Advisors APA Pty Ltd,60074901545,No
Allied Methanol Pty Ltd (ABN 75 655 158 526),75655158526,17/06/2025,H/Advisors APA Pty Ltd,60074901545,No
AllyOne,41657206874,21/05/2025,TG Public Affairs Pty Ltd,23630677673,No
Alpha HPA,79 106 879 690,01/11/2023,Rainmaker Strategic Planning  Pty Ltd,39632234916,No
Alvarez and Marsal,69 435 570 534,05/02/2025,BB Win Win Outcomes,91671079056,No
AMAYDA,45629524769,18/05/2023,Bullyproof Australia Ltd,94782533018,No
Amazon,30 616 935 623,04/10/2022,SEC Newgate Pty Limited,38162366056,No
Amazon,30 616 935 623,01/02/2024,Advisory Street,28613329472,No
Amazon Australia,,14/10/2024,TG Public Affairs Pty Ltd,23630677673,No
Amazon Commercial Services Pty Ltd,30 616 935 623,04/11/2022,Eloquium Group Pty Ltd,45631309923,No
Amazon Web Services,,07/08/2024,Spring Street Advisory Pty Ltd,92603411650,No
Amazon Web Services (AWS),,14/02/2025,Tim Marshall Advisory,36973273421,No
Amazon Web Services Limited,,27/04/2023,TG Public Affairs Pty Ltd,23630677673,No
Amgen Australia,31051057428,15/01/2019,OGILVY HEALTH PTY LTD,62 114 807 877,No
Amgen Australia Pty Ltd,31051057428,07/07/2023,Precision Public Affairs Pty Ltd,42639299415,No
Amiblu Pipes Systems,25150977478,10/07/2025,Capetal Advisory Pty Ltd,86615732182,No
AML Oceanographic,,08/02/2022,Seismic Asia Pacific Pty Ltd,31083755104,No
AMP Limited,,25/02/2014,Barton Deakin Pty Ltd,65140067287,No
AMP Limited,,01/03/2010,Hawker Britton Group Pty Ltd,79109681405,No
Amplify Aus,86 669 682 777,13/05/2025,Akin Agency,26 624 988 263,No
AMPLIFY-NOW PTY LTD,80 129 375 382,18/07/2022,Public Affairs and Campaigns Australia Pty Ltd,62632061226,No
AMPOL AUSTRALIA PETROLEUM PTY LTD,17 000 032 128,15/03/2022,Northstar Public Affairs Pty Ltd,25638744046,Yes
Analytica,,08/07/2018,Media and Public Affairs Australia,49622979177,No
ANCAP Australasia Limited,25 120 448 044,13/05/2025,GRACosway Pty Ltd,50082123822,No
ANDHealth Pty Ltd.,32 617 835 542,17/07/2025,CPR Communications & Public Relations Pty Ltd,94064357544,No
Anduril Australia and Asia Pacific Pty Ltd,15 657 508 088,15/05/2025,PYNE AND PARTNERS PTY LTD,81634747363,No
Anglican Community Services,39 922 848 563,15/06/2022,Capitol Research Pty Ltd,59001715135,No
Angus Knight Pty Limited,58 076 749 605,05/10/2021,BB Win Win Outcomes,91671079056,No
ANIMAL MEDICINES AUSTRALIA LIMITED,76 116 948 344,03/09/2024,Counsel House Pty Ltd,35631919009,No
Animal Welfare League NSW,88000533086,14/07/2025,Policy Solutions Group Pty Ltd,71134917356,No
Anindilyakwa Land Council,,21/10/2011,Diplomacy Pty Limited,17148998645,No
Annalise-AI Pty Ltd,92 635 645 260,07/10/2022,Kirchmann Management Consultants Pty Ltd,34837287161,No
ANNSCA Energy Pty Ltd,41601193284,19/08/2020,DPG Advisory Solutions,14634403115,Yes
Antony Kidman Foundation,73 001 286 399,24/07/2024,GRACosway Pty Ltd,50082123822,No
ANVAM (Australian National Veterans Arts Museum),13605494291,21/02/2022,Precision Public Affairs Pty Ltd,42639299415,No
Apellis Australia,87 600 316 612,12/06/2025,TSB Advisory Pty Ltd,90604408826,No
APELLIS AUSTRALIA PTY LTD,87 600 316 612,14/02/2024,OGILVY HEALTH PTY LTD,62 114 807 877,No
Apex Logic Pty Ltd,64629777591,26/09/2024,Indo Pacific Advisory Pty Ltd,78669769859,No
API Management Pty Ltd,66 112 677 595,10/02/2025,Corporate Affairs Australia Pty Ltd,87 629 216 262,No
APPLE PTY LIMITED,46 002 510 054,31/10/2024,Brookline Advisory Pty Ltd,89669353477,No
Aquaterro,31064779746,16/06/2025,CMAX Advisory PTY LTD as a Trustee for CMAX Trading Trust,62155922079,No
Aquifa Pty Ltd,63 676 974 235,10/06/2025,Nicholas Harry Chilton,33913200853,No
Aquna - Murray Cod Australia,74143928625,04/07/2022,Media and Public Affairs Australia,49622979177,No
Arafura Rare Earths,22 080 933 455,19/04/2024,GRA Partners Pty Ltd,56131702755,No
Arca Climate Technologies Inc,,13/08/2024,Horizon GR Pty Ltd,72 652 169 170,No
argenx australia pty ltd,13 674 151 010,10/07/2025,Kirchmann Management Consultants Pty Ltd,34837287161,No
Arianespace,,28/01/2019,Pynfall Pty Ltd,39008566943,No
Arjo Australia Pty Ltd,75007200900,04/12/2024,The Civic Partnership Pty Ltd,71652574171,No
ARK ENERGY CORPORATION PTY LTD,73 646 809 485,24/12/2024,The Trustee for Popp Family Trust,48 697 260 710,Yes
Arkeus Pty Ltd,91638881286,23/06/2025,CMAX Advisory PTY LTD as a Trustee for CMAX Trading Trust,62155922079,No
Armstrong Legal,,08/07/2018,Media and Public Affairs Australia,49622979177,No
ARNOTT'S BISCUITS LIMITED,44 008 435 729,04/11/2022,GRACosway Pty Ltd,50082123822,No
AROSE PTY LTD,29 620 725 144,26/07/2024,SEC Newgate Pty Limited,38162366056,No
Arrotex Pty Ltd,,02/01/2020,Jannette Cotterell,51364113263,No
ARTEC,81075183578,07/03/2012,Paramul Pty Ltd,37140000602,No
Arteri Pty Ltd,36 651 954 817,26/02/2024,Australian Corporate Advisory Pty Ltd,20654592926,No
Arthur Phillip Pty Ltd,37124225565,16/05/2024,JPG Advisory,95 646 954 574,No
Arup Australia Services Pty Ltd,36 625 911 686,07/10/2022,LINDSAY COMMUNICATION PTY LTD,37660108190,No
ASE Group,87 164 975 740,27/06/2022,BB Win Win Outcomes,91671079056,No
ASGP Limited,16648733304,21/10/2022,Cornerstone Group Australia Pty Ltd,99153936719,No
Ashurst,75 304 286 095,09/08/2022,Richardson Coutts Pty Ltd,82378912405,No
Asia Natural Gas and Energy Association,,15/10/2024,"WAWN, DAVID ROYLE",54178927340,Yes
Asian Network for Free Elections (ANFREL),,03/07/2024,Walter William Secord,48219768150,No
AsiaSpace Ltd,,04/05/2012,Comsult(Aust) Pty Ltd,26098280892,No
Aspect (Autism Spectrum Australia),12000637267,18/02/2025,Cornerstone Group Australia Pty Ltd,99153936719,No
ASPEN MEDICAL PTY LIMITED,32105250413,03/02/2025,The Trustee for Neagle Family Trust,55305718177,No
Aspen Medical Pty Ltd,32105250413,30/04/2019,Nexus APAC Pty Ltd,76615655699,No
Aspire 4 Life Ltd,53 615 917 167,04/05/2021,H/Advisors APA Pty Ltd,60074901545,No
ASSOCIATION FOR THE BATTERY RECYCLING INDUSTRY INC,19 271 626 806,12/06/2025,Girra-Maa Advisory Pty Ltd,73 681 995 086,No
Association of Australian Medical Research Institutes Limited,12 144 783 728,03/07/2025,Hawker Britton Group Pty Ltd,79109681405,No
Associazione Sportivo Australia (ASA),,17/03/2014,The Premier Communications Group Pty Ltd.,73137508555,No
Assurety Pty Ltd,75682120921,11/02/2025,Cornerstone Group Australia Pty Ltd,99153936719,No
Astellas Pharma Australia Pty Ltd,81 147 915 482,24/02/2025,Delta Advisory Pty Limited,70 667 068 760,No
"ASTRALite, Inc.",,08/02/2022,Seismic Asia Pacific Pty Ltd,31083755104,No
AstraZeneca Pty Ltd,54 009 682 311,27/04/2023,Nexus APAC Pty Ltd,76615655699,No
Atomo Diagnostics,37142925684,04/07/2022,Media and Public Affairs Australia,49622979177,No
Audika Australia Pty LTD,40 061 969 006,11/07/2022,Jannette Cotterell,51364113263,No
AUJS Limited,68 058 740 024,28/08/2024,Horizon GR Pty Ltd,72 652 169 170,No
Aurizn,,31/01/2025,Leonis Advisory,26381028834,No
Auror Australia Pty Ltd,39607713360,12/07/2024,Premier State Consulting Pty Ltd,26149964189,No
Auror Australia Pty Ltd,39607713360,12/07/2024,PremierNational Pty Ltd,71619450841,No
AusBiotech,87 006 509 726,26/09/2023,Nexus APAC Pty Ltd,76615655699,No
AusBiotech Ltd. (ABN 87 006 509 726),87 006 509 726,31/05/2024,H/Advisors APA Pty Ltd,60074901545,No
AUSCYCLING LIMITED,70 644 149 351,31/03/2025,Primary Communication Partners Pty Limited,36617864347,No
AusEV,87 657 333 867,19/08/2022,Crisis&Comms Co Pty Ltd,56637786899,No
Ausgrid,78508211731,25/11/2020,DPG Advisory Solutions,14634403115,No
Ausgrid,78508211731,10/02/2025,Emerald House Advocacy Pty Ltd,29682837672,No
AusMV Pty Ltd,23646613112,07/03/2023,Crisis&Comms Co Pty Ltd,56637786899,No
AusNet Transmission Group Pty Ltd,78 079 798 173,13/09/2022,RedBridge Group Pty Ltd,11650587867,No
Aussan Laboratories Py Ltd,91135472221,17/07/2025,Markstone Group Pty Ltd,61106988970,No
Austal Limited,,04/07/2019,FTI Consulting (Australia) Pty Ltd,49160397811,No
Austal Limited,73009250266,14/07/2025,CMAX Advisory PTY LTD as a Trustee for CMAX Trading Trust,62155922079,No
Australasian College of Podiatric Surgeons,48491064210,15/05/2024,EH Advisory,62 669 756 763,No
Australasian Sleep Association,,14/02/2018,Jannette Cotterell,51364113263,No
Australasian Society of Medical Perfusion,66 188 730 651,03/02/2023,Unravelling Red Tape Pty Ltd,69626524178,No
Australia & New Zealand Academy for Eating Disorders Inc (ANZAED),14 437 876 265,19/06/2025,SEC Newgate Pty Limited,38162366056,No
Australia Africa Chamber of Commerce Inc,83 803 970 920,01/06/2023,PRX Unit Trust,71595434578,No
Australia New Zealand Gynaecological Oncology Group,69 138 649 028,27/09/2024,Hawker Britton Group Pty Ltd,79109681405,No
Australia Pacific Airports (Launceston) Pty Limited,,14/07/2022,Font Public Relations Pty Ltd,39129451716,No
AUSTRALIA PACIFIC AIRPORTS (MELBOURNE) PTY LIMITED,62076999114,02/07/2024,Principle Advisory Pty Ltd,29657059848,No
Australia VRFB ESS Company Pty Ltd,96633286110,02/02/2023,CGM Communications Pty Ltd,66619642858,No
Australian Aerospace Corporation Pty Ltd,,25/08/2023,Molico Pty Ltd,52169196061,No
Australian Agritech Association,33268392177,16/08/2022,Diplomacy Pty Limited,17148998645,No
Australian Association of Convenience Stores Ltd,14 156 638 023,31/10/2023,RedBridge Group Pty Ltd,11650587867,No
Australian Association of Convenience Stores LTD,14 156 638 023,30/05/2024,Sapphire Executive Business Services,17 661 600 504,No
Australian Association of Convenience Stores LTD,14 156 638 023,30/05/2025,Capetal Advisory Pty Ltd,86615732182,No
Australian Association of National Advertisers,54003179673,12/02/2025,Brookline Advisory Pty Ltd,89669353477,No
Australian Association of Social Workers,93 008 576 010,10/07/2025,JNKM Group,52 184 625 335,No
AUSTRALIAN ASSOCIATION OF SOCIAL WORKERS LIMITED,93 008 576 010,03/03/2025,JNKM Group,52 184 625 335,No
AUSTRALIAN AUTOMOTIVE DEALER ASSOCIATION LIMITED,72 167 598 085,04/03/2025,TSB Advisory Pty Ltd,90604408826,No
Australian Banana Growers,60 381 740 734,19/06/2025,SAS Consulting Group Pty Ltd,33136520548,No
Australian Brandenburg Orchestra,41003908183,30/07/2018,Brickfielder Government Engagement (BGE),62621984923,No
AUSTRALIAN BUSINESS GROWTH FUND PTY LTD,17 644 607 152,05/02/2025,SEC Newgate Pty Limited,38162366056,No
Australian Business Volunteers Limited,89 008 612 431,03/07/2025,Hawker Britton Group Pty Ltd,79109681405,No
Australian Carbon Vault Pty Ltd,12 670 629 259,07/03/2025,Crestview Strategy Pty Ltd,66675929343,No
AUSTRALIAN CENTRE FOR GRIEF AND BEREAVEMENT,22038903478,05/11/2024,H/Advisors APA Pty Ltd,60074901545,No
AUSTRALIAN CENTRE FOR THE PREVENTION OF CERVICAL CANCER LTD,35430554780,17/01/2025,JO SCARD PTY LTD,29145634224,No
Australian Childcare Alliance,,29/08/2012,Jannette Cotterell,51364113263,No
Australian Childcare Alliance Queensland,,22/05/2020,Jannette Cotterell,51364113263,No
AUSTRALIAN CLINICAL FORENSIC MEDICINE ALLIANCE PTY LTD,18 669 364 461,05/11/2024,Precision Public Affairs Pty Ltd,42639299415,No
Australian Coalition for Endometriosis,94 666 988 316,07/07/2025,Regs and Corporate Advisory Pty. Ltd.,14641055272,No
AUSTRALIAN COMMITTEE FOR UNICEF LIMITED,35 060 581 437,20/06/2023,EJF Advisory Pty Ltd,91 659 678 047,No
AUSTRALIAN COMMITTEE FOR UNICEF LIMITED,35 060 581 437,14/02/2025,Bradley Wayne Chilcott,47 244 225 695,No
Australian Computer Society Incorporated,53 156 305 487,18/11/2024,Brookline Advisory Pty Ltd,89669353477,No
AUSTRALIAN COUNCIL ON SMOKING & HEALTH,20 902 420 947,07/03/2024,Essential Media Communications,48074671462,No
Australian Dairy Farmers' Limited,76060549653,06/09/2023,Currie Communications Pty Ltd,82050913909,No
AUSTRALIAN DAIRY PRODUCTS FEDERATION INC,72 577 831 587,22/11/2022,Counsel House Pty Ltd,35631919009,No
Australian Deer Association,,04/10/2022,CPI Strategic Pty Ltd,47139102891,No
AUSTRALIAN DEMOCRACY NETWORK LTD,35 655 372 133,03/07/2025,Hawker Britton Group Pty Ltd,79109681405,No
Australian Dental Association Ltd,95 174 118 424,10/02/2025,Essential Media Communications,48074671462,No
Australian Digital Inclusion Alliance,,11/07/2019,Eloquium Group Pty Ltd,45631309923,No
Australian Energy and Water Corporation,16 640 029 885,01/07/2025,Red Rocket Pty Ltd,87 662 027 358,Yes
Australian Energy Council Limited,92 608 495 307,20/11/2024,Akin Agency,26 624 988 263,Yes
AUSTRALIAN ENERGY PRODUCERS LIMITED,44 000 292 713,30/01/2024,CMAX Advisory PTY LTD as a Trustee for CMAX Trading Trust,62155922079,Yes
Australian Energy Resources Growth Centre Ltd,24609540285,02/02/2023,CGM Communications Pty Ltd,66619642858,Yes
Australian Entertainment Industry Association,43 095 907 857,26/06/2025,Delta Advisory Pty Limited,70 667 068 760,No
AUSTRALIAN ENTERTAINMENT INDUSTRY ASSOCIATION,43 095 907 857,15/07/2024,SEC Newgate Pty Limited,38162366056,No
Australian Entrepreneurs Alliance,38 633 188 735,21/10/2024,Mission Consulting Solutions Pty Ltd,55 662 274 286,No
Australian Federation of Travel Agents,72 001 444 275,08/07/2020,ALPHA Consult Pty Ltd,39612003460,No
Australian Federation of Ukrainian Organisations,40 104 855 692,12/04/2024,Brockwell Strategy Pty Ltd,85675736259,No
Australian Finance Group Ltd,11066385822,15/05/2024,Richardson Coutts Pty Ltd,82378912405,No
Australian Fresh Produce Alliance Ltd,11 631 297 642,24/03/2023,Anacta Strategies Pty Ltd,64633978677,No
Australian Gas Infrastructure Group,,13/06/2023,Spring Street Advisory Pty Ltd,92603411650,Yes
AUSTRALIAN GENOMIC CANCER MEDICINE CENTRE LTD trading as Omico,67 627 640 733,26/10/2022,TSB Advisory Pty Ltd,90604408826,No
Australian Geoscience Council Inc,,17/01/2019,Leisure Solutions Pty Ltd,61982432138,No
Australian Gypsum Industries,89064338076,08/07/2025,GRA Partners Pty Ltd,56131702755,No
Australian Health Research Alliance,,12/09/2018,Jannette Cotterell,51364113263,No
Australian Hide Skin and Leather Exporters Association (AHSLEA),39 174 408 287,14/07/2025,Bastion Reputation Management Pty Ltd,34 606 814 680,No
Australian Hotels Association (AHA),,05/08/2024,Capetal Advisory Pty Ltd,86615732182,No
AUSTRALIAN HOTELS ASSOCIATION (NSW),64 243 628 807,17/12/2024,Sapphire Executive Business Services,17 661 600 504,No
Australian Hotels Association NSW,64243628807,07/02/2025,Premier State Consulting Pty Ltd,26149964189,No
Australian Hotels Association NSW,64243628807,07/02/2025,PremierNational Pty Ltd,71619450841,No
Australian Imported Motor Vehicle Industry Association,98862275106,09/02/2018,Ascend Strategic Counsel Pty Ltd,26726483358,No
Australian Industry & Defence Network Incorporated and AIDN National (“AIDN”),37 252 416 031,05/05/2021,Precision Public Affairs Pty Ltd,42639299415,No
Australian Industry & Defence Network Limited,29115614803,12/02/2025,Molico Pty Ltd,52169196061,No
Australian Integrated Carbon,52 610 332 931,25/09/2024,York Park Group Pty Ltd,49642775577,No
Australian Intelligence Machines Pty Ltd (“AIM”),426 392 99 415,12/10/2021,Precision Public Affairs Pty Ltd,42639299415,No
Australian Investment Council Limited,84056885708,23/05/2023,TSB Advisory Pty Ltd,90604408826,No
Australian Investment Council Limited,84 056 885 708,04/11/2024,CT GROUP (AUSTRALIA) PTY LTD,58101934454,No
AUSTRALIAN KOOKABURRA KIDS FOUNDATION LIMITED,12 614 172 173,18/09/2024,EJF Advisory Pty Ltd,91 659 678 047,No
Australian Livestock and Rural Transporters Association Inc,16 034 545 414,30/08/2024,Northstar Public Affairs Pty Ltd,25638744046,No
Australian Marine Conservation Society,,02/03/2018,Jannette Cotterell,51364113263,No
Australian Mobile Telecommunications Association,98065814315,06/02/2015,Open Spectrum Pty Ltd,55600755137,No
Australian Mobile Telecommunications Association (AMTA),98 065 814 315,14/07/2023,Wireless Frequency Studio.net,69691549218,No
Australian Music Therapy Association,11 881 946 262,28/11/2024,Banksia Strategic Partners Pty Ltd,50660359866,No
AUSTRALIAN NATIONAL UNIVERSITY,52 234 063 906,02/09/2022,CMAX Advisory PTY LTD as a Trustee for CMAX Trading Trust,62155922079,No
Australian Nursing and Midwifery Federation,,01/08/2013,The Premier Communications Group Pty Ltd.,73137508555,No
Australian Owned Contractors Limited,27627838215,07/08/2018,GRA Partners Pty Ltd,56131702755,No
Australian Patient Advocacy Alliance Ltd,91 650 360 946,14/07/2021,OGILVY HEALTH PTY LTD,62 114 807 877,No
Australian Payments Network,,03/05/2018,Advisory Street,28613329472,No
Australian Physiotherapy Association,,03/02/2025,Salus Advisory Pty Ltd,77282880834,No
Australian POTS Foundation,98648334374,03/02/2023,Headline Advisory Pty Ltd,73268549885,No
Australian Primary Health Care Nurses Association,30390041210,06/12/2023,The Premier Communications Group Pty Ltd.,73137508555,No
Australian Private Hospitals Association,,28/01/2016,Jannette Cotterell,51364113263,No
Australian Railways,85 624 329 960,01/11/2023,The Influence Corporation Pty. Ltd.,79 671 703 156,No
